run,xign,yign,fuel,slp,asp,ws,wd,m1,m10,m100,cc,ch,cbh,cbd,lhc,lwc
1,282.2,-929.6,1,5,339,19.7,221.3,28.7,6.2,21.0,93,3,2,10,39.2,55.4
2,662.0,464.2,27,43,336,7.2,273.3,24.1,31.1,8.7,20,2,0,14,50.9,62.7
3,466.5,-786.0,30,15,47,25.7,90.8,30.2,3.9,1.6,90,2,2,37,47.1,71.0
4,692.4,-785.7,9,5,318,5.5,41.9,1.3,11.4,25.3,59,4,0,6,46.4,62.7
5,-241.3,179.5,8,45,218,12.8,21.7,32.6,34.9,20.6,8,2,2,14,98.5,92.9
1,141.8,741.4,29,8,1,17.0,334.7,38.7,33.7,11.7,3,3,0,27,63.2,80.5
2,-774.7,-797.2,27,8,34,10.1,115.3,28.8,33.9,20.9,15,0,0,32,54.7,48.9
3,529.5,383.9,19,44,162,7.9,11.1,11.4,37.6,33.3,72,2,1,12,53.0,87.6
4,-836.6,853.2,1,41,274,5.6,311.3,20.1,18.5,14.6,22,0,1,15,66.2,66.6
5,746.2,101.0,16,13,85,0.9,134.4,17.1,32.7,26.4,84,1,1,25,78.2,87.5
