run,xign,yign,fuel,slp,asp,ws,wd,m1,m10,m100,cc,ch,cbh,cbd,lhc,lwc
0,-1787.7,1615.6,102,25,81,16.9,305.5,4.3,37.0,30.8,83,0,0,34,38.5,67.0
1,476.2,1075.4,148,17,162,30.3,254.7,16.4,9.0,22.7,36,5,2,21,74.2,61.1
2,-1005.0,-1430.2,102,31,184,7.1,92.6,4.6,24.3,36.5,18,4,2,1,94.8,35.1
3,1843.2,-638.7,102,44,96,12.6,230.5,26.2,10.0,18.7,38,3,0,29,37.7,51.2
4,1466.3,791.6,163,17,213,4.1,125.8,2.8,4.7,38.4,65,0,0,17,93.2,30.6
5,950.4,216.1,142,30,314,2.7,166.9,9.8,33.0,19.6,34,3,1,27,88.7,45.0
6,-1.3,-905.4,203,7,223,11.7,309.8,15.4,34.8,17.9,12,0,0,6,88.5,69.7
7,-902.4,-1257.5,146,32,83,23.1,303.7,26.4,23.7,3.8,79,2,1,28,59.8,84.9
8,-938.0,-245.4,105,11,47,7.0,248.2,9.6,32.7,7.1,68,3,2,12,92.6,59.1
9,-16.1,647.0,202,20,352,22.6,137.7,36.2,4.8,10.2,65,0,0,9,65.1,63.0
10,-566.9,-32.9,102,13,291,6.1,257.9,15.2,33.1,28.2,19,1,0,32,89.8,83.7
11,-1915.5,1109.7,204,29,131,19.7,156.1,14.7,21.2,30.7,28,3,2,29,44.1,79.5
12,-1782.3,1656.4,186,26,30,8.6,112.5,29.6,14.4,28.8,37,0,0,6,54.7,72.6
13,-1260.1,-616.2,188,15,218,18.8,302.5,7.2,33.8,25.1,24,0,0,25,42.1,60.3
14,-1891.2,211.1,204,24,338,3.3,282.9,17.7,35.3,38.0,13,2,1,23,59.8,61.3
15,-1534.3,1184.5,141,3,248,28.3,314.0,31.4,16.8,14.1,10,0,0,26,79.1,66.1
16,1111.3,-122.8,145,7,194,6.0,17.3,21.5,17.4,19.1,32,3,1,10,59.5,50.9
17,-1433.2,1413.0,144,34,276,24.2,1.5,17.7,12.6,20.7,65,3,2,38,84.9,39.6
18,-169.4,1567.0,106,9,232,23.8,325.3,3.4,20.5,3.7,34,1,0,1,90.0,83.4
19,1361.1,622.3,148,16,218,6.2,315.3,2.6,26.0,20.2,10,4,1,39,96.4,36.7
20,-1749.7,-597.4,162,11,239,10.6,115.3,30.1,12.8,17.8,17,1,0,10,40.4,62.4
21,-663.6,-359.5,181,21,197,12.7,12.0,10.6,34.3,13.1,10,1,0,20,79.7,64.0
22,1555.3,-1372.6,122,28,230,11.6,194.9,27.9,14.0,10.4,68,1,0,40,93.6,57.8
23,-1242.5,-774.3,163,41,125,27.8,157.2,20.3,28.9,24.2,86,0,0,31,51.2,36.6
24,558.8,1902.9,161,35,32,17.5,132.8,26.1,15.9,26.1,51,0,0,7,80.7,77.9
25,-1050.9,1524.5,102,30,145,19.3,1.9,11.9,4.0,24.9,34,4,0,31,80.3,50.6
26,232.0,1091.9,109,14,156,4.9,8.9,16.7,4.7,20.2,72,1,0,34,45.1,65.7
27,-1225.2,1032.1,256,41,130,6.9,127.5,16.6,27.4,11.1,91,2,1,6,67.1,31.3
28,1336.4,293.7,203,30,20,28.2,17.3,7.7,32.6,28.2,87,2,0,25,92.4,64.9
29,-1368.4,-1028.2,123,25,343,0.1,45.1,28.4,12.2,24.3,56,3,0,16,89.3,52.3
30,-1916.4,-1545.6,106,32,121,1.9,103.9,35.4,35.7,30.4,28,4,0,7,74.7,88.0
31,308.9,222.1,107,35,94,25.7,144.0,38.7,38.9,18.2,20,5,0,14,68.0,52.6
32,-115.0,-861.1,184,14,252,14.9,220.8,6.4,30.7,37.9,30,4,0,12,40.5,96.2
33,1238.8,1667.6,182,34,108,12.1,339.6,21.3,2.3,6.4,85,5,2,6,30.5,57.9
34,353.3,710.4,202,9,244,18.0,180.8,28.3,2.4,6.6,10,0,0,31,90.9,99.4
35,301.9,1540.2,145,26,0,17.6,103.9,30.2,8.4,27.4,36,0,0,9,60.5,64.8
36,1303.8,688.9,141,15,27,30.8,19.5,14.6,19.4,34.1,70,0,0,38,33.0,30.3
37,1169.1,-1250.0,164,30,194,12.4,119.5,16.6,32.8,10.1,63,4,2,26,74.6,47.9
38,-1238.4,-1503.1,102,27,209,23.7,123.1,32.3,19.1,36.6,5,2,1,17,53.2,57.9
39,-882.7,-1202.6,102,5,300,12.4,202.6,24.9,33.4,33.0,9,0,0,34,73.6,50.3
40,934.4,1110.2,104,16,122,10.8,283.4,3.1,15.3,8.7,16,4,1,3,98.6,78.2
41,-4.1,1498.2,164,32,353,6.1,36.4,12.8,21.1,28.7,79,3,1,13,57.1,93.1
42,-100.3,1746.6,187,11,218,24.2,286.4,5.4,11.0,32.4,8,1,0,5,33.5,67.5
43,1857.1,1070.7,102,28,343,22.9,190.9,2.2,22.9,6.3,66,0,0,27,57.4,92.1
44,-1892.9,225.2,181,42,202,21.8,9.7,19.5,12.5,20.5,63,1,0,1,50.7,72.9
45,-1550.3,1658.3,161,11,41,15.8,220.2,13.9,2.5,14.8,2,2,0,1,33.6,46.3
46,592.1,-1064.5,187,30,254,2.9,320.6,30.0,20.1,8.5,55,2,1,5,48.8,59.6
47,195.5,-359.8,186,43,70,12.7,275.7,11.3,3.6,22.0,79,0,0,21,57.1,87.4
48,1337.6,-599.3,184,33,283,23.5,305.8,33.0,31.3,4.9,25,1,0,2,76.9,89.1
49,-623.4,-666.6,181,42,262,6.2,88.7,29.2,23.9,2.7,26,1,0,37,63.5,96.6
50,1393.7,1833.8,142,43,212,23.9,151.2,9.1,22.2,22.9,99,4,0,24,55.9,92.8
51,1547.4,182.5,162,13,342,9.3,134.1,23.0,32.3,6.0,34,2,0,1,93.4,87.2
52,-1409.3,-91.0,202,29,332,8.7,89.2,35.7,19.6,38.2,52,1,0,36,68.5,96.5
53,-1910.6,1139.3,187,7,262,6.0,72.9,16.9,22.0,32.7,43,0,0,40,99.4,90.3
54,1531.2,134.7,189,42,220,24.3,81.8,15.8,21.2,19.0,4,5,0,32,42.4,84.5
55,-1179.4,-1849.6,186,28,72,4.0,23.8,11.7,29.7,16.4,52,1,0,16,87.7,52.0
56,459.0,1079.7,186,32,294,4.6,273.4,20.9,36.4,12.2,50,0,0,25,97.7,56.2
57,-1248.7,1799.9,202,45,153,30.5,41.2,4.7,30.3,35.8,66,3,0,21,49.9,95.5
58,-123.9,-791.8,201,9,23,10.3,195.0,25.2,15.6,3.5,20,5,0,13,39.9,47.5
59,1585.9,1171.4,163,4,255,25.2,238.5,29.4,22.1,27.9,25,1,0,29,87.6,95.5
60,-328.7,160.9,188,3,175,17.9,262.5,8.0,33.6,29.9,1,5,1,28,91.0,39.1
61,-989.8,621.5,188,26,130,13.1,15.9,27.8,11.0,12.2,58,4,1,17,55.3,79.4
62,974.1,-651.2,146,16,19,22.5,261.3,14.2,9.8,34.8,92,1,0,35,40.6,85.2
63,1821.9,-1690.2,204,14,237,23.6,238.6,39.1,10.0,2.7,5,2,0,34,37.9,31.9
64,-1240.3,-1820.0,102,34,50,9.7,37.9,31.6,8.2,19.4,60,0,0,22,68.2,67.7
65,1500.4,-135.5,141,3,148,21.7,88.8,15.7,18.9,37.0,74,5,1,18,72.3,97.3
66,735.7,-1519.7,102,29,318,11.6,303.8,2.6,21.9,3.2,70,0,0,39,82.5,50.2
