run,xign,yign,fuel,slp,asp,ws,wd,m1,m10,m100,cc,ch,cbh,cbd,lhc,lwc
1,-255.7,-1776.8,9,34,70,16.6,48.1,10.5,30.5,24.9,51,1,0,33,43.1,33.8
2,-1316.4,-1171.9,35,35,73,15.3,137.4,15.5,38.4,11.8,42,1,0,8,61.3,57.4
3,-870.4,1552.7,37,41,45,28.2,342.1,29.5,12.2,14.3,42,1,0,1,77.8,47.5
4,1588.1,-773.6,12,22,114,21.9,289.4,32.3,20.3,12.2,9,3,2,19,38.8,90.5
5,732.1,-1192.1,37,0,298,23.7,17.4,30.7,2.7,33.9,30,2,0,16,46.2,81.5
6,929.0,-1468.2,32,19,211,9.6,187.9,3.4,36.1,22.9,93,3,1,7,45.6,75.2
8,122.8,-216.3,23,7,26,9.7,283.2,33.7,19.7,20.3,25,3,2,12,77.1,58.8
9,1655.3,-322.2,22,0,26,14.4,233.6,27.5,33.7,30.2,99,3,2,35,91.8,87.2
10,-1134.9,-1178.4,33,36,261,28.1,148.1,36.4,24.9,38.7,24,5,1,33,48.3,49.5
11,1549.8,1895.7,2,43,141,16.4,301.3,19.0,9.6,15.8,21,4,2,21,98.5,69.1
12,330.6,-147.4,8,25,141,29.3,110.3,17.7,15.7,20.1,7,1,0,20,73.7,96.7
13,-1177.5,-531.1,34,25,74,0.1,116.7,10.9,21.5,26.3,24,1,0,18,54.4,57.8
14,-465.3,-419.1,10,40,150,21.4,63.9,30.2,31.9,20.0,50,1,0,35,89.9,86.3
15,-1827.9,1032.5,12,15,67,0.1,138.3,34.8,20.7,24.8,86,2,0,18,86.2,44.4
16,1553.2,1213.9,3,31,275,0.3,122.9,3.1,31.3,12.0,67,1,0,39,44.3,78.3
17,438.0,10.4,36,32,108,20.0,41.4,36.5,26.5,36.9,55,5,0,18,47.9,90.4
18,370.8,-1603.0,2,42,259,12.2,196.1,11.2,12.3,38.5,52,4,2,11,39.1,79.8
19,204.7,-208.5,37,37,248,4.8,355.0,34.7,11.1,13.6,33,1,0,40,34.5,81.3
20,54.2,-24.1,6,21,7,30.9,313.5,39.8,20.6,21.3,23,4,1,34,62.8,47.4
24,901.2,1722.5,22,29,157,17.3,0.3,31.6,22.4,31.3,69,4,1,5,66.0,58.5
27,-1586.4,44.6,17,10,132,5.1,99.1,22.0,15.0,4.9,21,2,0,32,49.3,34.7
28,-1236.6,552.7,3,16,155,24.3,224.8,2.5,12.7,36.2,13,2,0,12,92.0,68.5
