run,xign,yign,fuel,slp,asp,ws,wd,m1,m10,m100,cc,ch,cbh,cbd,lhc,lwc,firearea
1,1011.1,1303.0,27,6,45,0.8,245.5,27.3,11.1,28.2,85,3,0,23,72.7,75.9,0.0
2,-1494.6,1458.5,28,14,334,18.6,65.1,37.8,22.2,34.9,13,5,2,31,75.5,34.5,0.0
3,-255.6,-1812.4,8,27,209,17.7,69.9,11.3,31.1,5.3,6,4,2,38,30.3,87.6,94.5
4,1716.9,1148.7,18,1,246,17.6,12.5,17.6,11.1,33.3,75,0,0,6,72.2,61.9,0.0
5,-1894.1,147.1,20,17,199,11.5,47.2,24.7,25.3,13.4,12,0,0,21,59.4,30.7,0.0
6,18.8,1450.5,10,19,275,0.8,271.4,24.7,27.2,22.5,14,0,0,35,57.4,44.2,2.7
7,-1438.7,-1611.7,24,41,178,11.9,142.1,19.0,30.2,12.1,56,3,0,26,73.4,90.0,0.0
8,-1556.3,-876.7,25,8,342,0.4,157.3,6.3,18.5,22.6,19,4,1,25,40.6,65.5,0.0
9,-181.4,-559.6,17,18,50,23.4,80.0,29.7,7.6,5.9,51,2,0,16,74.2,33.7,0.0
10,1194.6,150.3,27,13,249,28.0,333.9,12.0,13.5,12.7,6,1,0,21,33.2,55.5,0.0
11,174.2,1320.8,13,14,360,7.3,6.0,36.8,26.9,12.0,13,5,0,18,85.7,83.9,0.2
12,-1763.5,1215.2,3,26,231,10.7,171.9,16.1,38.1,3.7,32,5,2,25,37.3,81.8,3419.5
13,289.8,-392.9,11,9,100,17.5,219.0,34.3,12.6,35.3,43,0,0,23,87.3,52.0,0.2
14,-438.2,517.7,34,2,299,29.3,0.3,33.8,3.2,25.7,0,3,1,3,78.4,61.0,0.0
15,967.0,1840.8,3,41,294,25.9,107.1,38.7,29.5,24.5,34,2,0,27,60.4,84.0,0.2
16,-481.2,382.5,16,33,73,21.7,89.4,38.5,17.2,16.4,75,5,0,1,79.7,73.2,0.0
17,-1247.3,-1001.4,19,40,32,28.0,244.9,5.4,36.5,39.8,3,5,2,35,39.0,89.9,0.0
18,215.8,1362.1,23,28,104,2.0,237.7,30.7,33.7,5.0,43,3,2,24,67.6,38.8,0.0
19,-1151.7,52.0,17,14,291,11.5,115.2,2.9,7.7,7.1,41,2,0,16,34.0,52.1,0.0
20,800.3,58.3,25,23,266,1.4,127.1,29.4,33.9,21.8,10,4,0,10,89.6,80.4,0.0
21,359.2,1377.0,19,24,183,13.9,139.5,22.5,24.2,35.3,42,2,0,15,96.1,86.2,0.0
